name,technology,bidding_EOM,bidding_CRM_pos,bidding_CRM_neg,fuel_type,emission_factor,max_power,min_power,efficiency,ramp_up,ramp_down,additional_cost,hot_start_cost,warm_start_cost,cold_start_cost,min_operating_time,min_down_time,heat_extraction,max_heat_extraction,unit_operator
Chandrapur (Maharashtra) Super Thermal Power Station Unit 4,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Chandrapur (Maharashtra) STPS
Chandrapur (Maharashtra) Super Thermal Power Station Unit 5,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Chandrapur (Maharashtra) STPS
Chandrapur (Maharashtra) Super Thermal Power Station Unit 6,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Chandrapur (Maharashtra) STPS
Chandrapur (Maharashtra) Super Thermal Power Station Unit 7,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Chandrapur (Maharashtra) STPS
Chandrapur (Maharashtra) Super Thermal Power Station Unit 8,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Chandrapur (Maharashtra) STPS
Chandrapur (Maharashtra) Super Thermal Power Station Unit 9,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Chandrapur (Maharashtra) STPS
Chandrapura (DVC) Thermal Power Station Unit 7,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Chandrapura (DVC) TPS
Chandrapura (DVC) Thermal Power Station Unit 8,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Chandrapura (DVC) TPS
Chhabra Thermal Power Plant Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Chhabra TPP
Chhabra Thermal Power Plant Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Chhabra TPP
Chhabra Thermal Power Plant Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Chhabra TPP
Chhabra Thermal Power Plant Unit 4,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Chhabra TPP
Chhabra Thermal Power Plant Unit 5,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Chhabra TPP
Chhabra Thermal Power Plant Unit 6,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Chhabra TPP
Dadri TPP (NCTPP) Stage I Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Dadri TPP (NCTPP)
Dadri TPP (NCTPP) Stage I Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Dadri TPP (NCTPP)
Dadri TPP (NCTPP) Stage I Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Dadri TPP (NCTPP)
Dadri TPP (NCTPP) Stage I Unit 4,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Dadri TPP (NCTPP)
Dadri TPP (NCTPP) Stage II Unit 5,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,490,196,0.4,,,,,,,,,,,Dadri TPP (NCTPP)
Dadri TPP (NCTPP) Stage II Unit 6,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,490,196,0.4,,,,,,,,,,,Dadri TPP (NCTPP)
Dahanu Thermal Power Station Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Dahanu TPS
Dahanu Thermal Power Station Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Dahanu TPS
Damodaram Sanjeevaiah Thermal Power Station or Krishnapatnam Supercritical TPP Stage I Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,800,320,0.4,,,,,,,,,,,Damodaram Sanjeevaiah or Krishnapatnam TPP
Damodaram Sanjeevaiah Thermal Power Station or Krishnapatnam Supercritical TPP Stage I Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,800,320,0.4,,,,,,,,,,,Damodaram Sanjeevaiah or Krishnapatnam TPP
Damodaram Sanjeevaiah Thermal Power Station or Krishnapatnam Supercritical TPP Stage I Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,800,320,0.4,,,,,,,,,,,Damodaram Sanjeevaiah or Krishnapatnam TPP
Darlipali Supercritical Thermal Power Plant Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,800,320,0.4,,,,,,,,,,,Darlipali STPP
Darlipali Supercritical Thermal Power Plant Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,800,320,0.4,,,,,,,,,,,Darlipali STPP
Derang Thermal Power Plant Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,600,240,0.4,,,,,,,,,,,Derang TPP
Derang Thermal Power Plant Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,600,240,0.4,,,,,,,,,,,Derang TPP
Dhariwal TPP Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,300,120,0.4,,,,,,,,,,,Dhariwal TPP
Dhariwal TPP Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,300,120,0.4,,,,,,,,,,,Dhariwal TPP
Dr. Shyama Prasad Mukherjee Thermal Power Station (DSPM) Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Dr. Shyama Prasad Mukherjee TPS
Dr. Shyama Prasad Mukherjee Thermal Power Station (DSPM) Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Dr. Shyama Prasad Mukherjee TPS
Durgapur Projects Ltd Thermal Power Plant (D.P.L. TPS) Unit 7,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,300,120,0.4,,,,,,,,,,,Durgapur Projects (D.P.L.) TPS
Durgapur Projects Ltd Thermal Power Plant (D.P.L. TPS) Unit 8,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Durgapur Projects (D.P.L.) TPS
Durgapur Steel TPS Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Durgapur Steel TPS
Durgapur Steel TPS Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Durgapur Steel TPS
EMCO Energy Warora Power Station / GMR Warora Power Station Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,300,120,0.4,,,,,,,,,,,EMCO Energy Warora TPS/ GMR Warora
EMCO Energy Warora Power Station / GMR Warora Power Station Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,300,120,0.4,,,,,,,,,,,EMCO Energy Warora TPS/ GMR Warora
Farakka STPS Stage I Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,200,80,0.4,,,,,,,,,,,Farakka STPS
Farakka STPS Stage I Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,200,80,0.4,,,,,,,,,,,Farakka STPS
Farakka STPS Stage I Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,200,80,0.4,,,,,,,,,,,Farakka STPS
Farakka STPS Stage II Unit 4,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Farakka STPS
Farakka STPS Stage II Unit 5,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Farakka STPS
Farakka STPS Stage III Unit 6,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Farakka STPS
Gadarwara Super Thermal Power Station Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,800,320,0.4,,,,,,,,,,,Gadarwara STPS
Gadarwara Super Thermal Power Station Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,800,320,0.4,,,,,,,,,,,Gadarwara STPS
Gandhi Nagar Thermal Power Station Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Gandhi Nagar TPS
Gandhi Nagar Thermal Power Station Unit 4,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Gandhi Nagar TPS
Gandhi Nagar Thermal Power Station Unit 5,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Gandhi Nagar TPS
Ghatampur TPP Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Ghatampur TPP
Ghatampur TPP Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Ghatampur TPP
Giral Lignite Power Station Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,125,50,0.4,,,,,,,,,,,Giral Lignite TPS
